time,transaction_count
1438920000,2035
1439006400,2344
1439092800,1312
1439179200,2027
1439265600,4955
1439352000,2009
1439438400,2834
1439524800,3166
1439611200,2269
1439697600,2438
1439784000,2512
1439870400,2493
1439956800,3215
1440043200,2301
1440129600,3906
1440216000,3574
1440302400,4187
1440388800,4432
1440475200,4470
1440561600,4153
1440648000,5550
1440734400,4757
1440820800,4138
1440907200,4571
1440993600,5194
1441080000,5141
1441166400,5189
1441252800,4766
1441339200,5624
1441425600,5509
1441512000,5516
1441598400,5696
1441684800,5611
1441771200,5599
1441857600,5331
1441944000,6456
1442030400,5582
1442116800,6044
1442203200,5570
1442289600,5406
1442376000,5866
1442462400,5365
1442548800,5782
1442635200,5199
1442721600,6380
1442808000,6303
1442894400,6802
1442980800,7376
1443067200,6218
1443153600,5846
1443240000,5904
1443326400,5747
1443412800,6115
1443499200,5737
1443585600,5866
1443672000,6419
1443758400,6052
1443844800,6112
1443931200,6624
1444017600,6240
1444104000,6456
1444190400,7113
1444276800,6926
1444363200,6761
1444449600,6529
1444536000,6023
1444622400,6571
1444708800,6815
1444795200,6818
1444881600,6472
1444968000,6769
1445054400,6564
1445140800,6462
1445227200,6597
1445313600,5894
1445400000,6174
1445486400,5962
1445572800,6861
1445659200,6354
1445745600,5813
1445832000,5910
1445918400,6750
1446004800,7340
1446091200,7780
1446177600,7909
1446264000,7522
1446350400,6893
1446440400,6543
1446526800,7393
1446613200,7033
1446699600,7488
1446786000,7874
1446872400,10975
1446958800,12394
1447045200,7688
1447131600,8142
1447218000,10217
1447304400,9368
1447390800,7886
1447477200,7206
1447563600,7166
1447650000,7436
1447736400,7145
1447822800,7363
1447909200,8872
1447995600,6347
1448082000,6820
1448168400,7083
1448254800,8260
1448341200,7149
1448427600,7097
1448514000,7278
1448600400,6639
1448686800,6792
1448773200,6849
1448859600,8957
1448946000,6782
1449032400,6496
1449118800,6946
1449205200,6878
1449291600,6772
1449378000,9080
1449464400,7138
1449550800,6690
1449637200,7000
1449723600,7416
1449810000,8097
1449896400,8202
1449982800,7411
1450069200,15525
1450155600,20359
1450242000,10294
1450328400,9599
1450414800,9029
1450501200,9273
1450587600,9591
1450674000,12061
1450760400,21023
1450846800,22737
1450933200,13492
1451019600,9519
1451106000,10722
1451192400,21864
1451278800,12362
1451365200,11349
1451451600,21672
