time,transaction_count_ltc
1318478400,92
1318564800,62
1318651200,438
1318737600,1415
1318824000,1578
1318910400,1651
1318996800,1388
1319083200,1851
1319169600,1681
1319256000,1505
1319342400,1562
1319428800,1443
1319515200,1260
1319601600,1310
1319688000,933
1319774400,1388
1319860800,1522
1319947200,1749
1320033600,1779
1320120000,1980
1320206400,2348
1320292800,2029
1320379200,2112
1320465600,1592
1320552000,1716
1320642000,1608
1320728400,1734
1320814800,1505
1320901200,1487
1320987600,2003
1321074000,1295
1321160400,1572
1321246800,1460
1321333200,4823
1321419600,21994
1321506000,15859
1321592400,11761
1321678800,2499
1321765200,4203
1321851600,2616
1321938000,1735
1322024400,1596
1322110800,1222
1322197200,1317
1322283600,1508
1322370000,1409
1322456400,1300
1322542800,883
1322629200,1170
1322715600,1186
1322802000,1157
1322888400,1314
1322974800,964
1323061200,839
1323147600,947
1323234000,928
1323320400,990
1323406800,740
1323493200,821
1323579600,846
1323666000,778
1323752400,594
1323838800,602
1323925200,715
1324011600,773
1324098000,689
1324184400,774
1324270800,746
1324357200,768
1324443600,768
1324530000,798
1324616400,801
1324702800,626
1324789200,594
1324875600,616
1324962000,719
1325048400,711
1325134800,1028
1325221200,940
1325307600,686
1325394000,649
1325480400,718
1325566800,784
1325653200,723
1325739600,760
1325826000,654
1325912400,597
1325998800,499
1326085200,430
1326171600,457
1326258000,437
1326344400,823
1326430800,868
1326517200,708
1326603600,456
1326690000,425
1326776400,386
1326862800,360
1326949200,233
1327035600,248
1327122000,287
1327208400,382
1327294800,478
1327381200,438
1327467600,515
1327554000,589
1327640400,650
1327726800,794
1327813200,663
1327899600,608
1327986000,448
1328072400,625
1328158800,867
1328245200,928
1328331600,995
1328418000,1049
1328504400,874
1328590800,1003
1328677200,1037
1328763600,935
1328850000,824
1328936400,869
1329022800,790
1329109200,733
1329195600,781
1329282000,599
1329368400,768
1329454800,736
1329541200,719
1329627600,774
1329714000,800
1329800400,776
1329886800,704
1329973200,729
1330059600,592
1330146000,495
1330232400,500
1330318800,463
1330405200,487
1330491600,496
1330578000,641
1330664400,856
1330750800,900
1330837200,611
1330923600,414
1331010000,468
1331096400,511
1331182800,473
1331269200,490
1331355600,437
1331442000,519
1331524800,455
1331611200,583
1331697600,748
1331784000,1031
1331870400,506
1331956800,442
1332043200,585
1332129600,703
1332216000,672
1332302400,708
1332388800,578
1332475200,749
1332561600,516
1332648000,510
1332734400,551
1332820800,642
1332907200,573
1332993600,518
1333080000,545
1333166400,501
1333252800,549
1333339200,503
1333425600,464
1333512000,517
1333598400,496
1333684800,557
1333771200,485
1333857600,546
1333944000,462
1334030400,606
1334116800,562
1334203200,531
1334289600,582
1334376000,519
1334462400,478
1334548800,517
1334635200,522
1334721600,529
1334808000,486
1334894400,443
1334980800,354
1335067200,412
1335153600,464
1335240000,479
1335326400,456
1335412800,490
1335499200,482
1335585600,489
1335672000,491
1335758400,552
1335844800,556
1335931200,554
1336017600,520
1336104000,397
1336190400,414
1336276800,422
1336363200,495
1336449600,508
1336536000,532
1336622400,507
1336708800,521
1336795200,460
1336881600,502
